# time	x	v

125.693855	9866.808335593218	88.0584827117022
125.793855	9875.624026879743	88.25583639952407
125.893855	9884.459602293178	88.45617270638233
125.993855	9893.315362343617	88.65953670879121
126.093855	9902.191612082785	88.8659741645092
126.193855	9911.088661172667	89.07553152283475
126.293855	9920.0068239552	89.28825593505758
126.393855	9928.946419522981	89.50419526506788
126.493855	9937.90777179108	89.7233981001259
126.593855	9946.891209569916	89.94591376179432
126.693855	9955.897066639238	90.17179231703575
126.793855	9964.925681823233	90.40108458947807
126.893855	9973.977399066758	90.63384217084992
126.993855	9983.052567512732	90.87011743258905
127.093855	9992.151541580693	91.10996353762617
127.193855	10001.274681046543	91.35343445234678
127.293855	10010.422351123503	91.60058495873383
127.393855	10019.594922544284	91.85147066669397
127.493855	10028.792771644503	92.1061480265699
127.593855	10038.016280447364	92.36467434184205
127.693855	10047.26583674961	92.62710778202201
127.793855	10056.541834208783	92.89350739574098
127.893855	10065.844672431796	93.16393312403595
127.993855	10075.174757064848	93.43844581383665
128.093855	10084.532499884692	93.71710723165641
128.193855	10093.918318891294	93.99998007748987
128.293855	10103.33263840188	94.2871279989207
128.393855	10112.775889146405	94.57861560544265
128.493855	10122.24850836448	94.87450848299693
128.593855	10131.750939903743	95.17487320872931
128.693855	10141.283634319729	95.47977736597025
128.793855	10150.84704897725	95.78928955944147
128.893855	10160.4416481533	96.10347943069227
128.993855	10170.067903141527	96.42241767376919
129.093855	10179.726292358262	96.74617605112246
129.193855	10189.417301450178	97.07482740975286
129.293855	10199.141423403556	97.40844569760259
129.302668	10200.000023057328	97.43808842176068
129.402668	10209.704960390613	96.66169343509794
129.502668	10219.332567956724	95.89148482980904
129.602668	10228.883461925832	95.12741331228035
129.702668	10238.358253558412	94.36942998167395
129.802668	10247.757549244363	93.61748632679793
129.902668	10257.081950541815	92.87153422300173
130.002668	10266.332054215636	92.13152592909609
130.102668	10275.508452275617	91.39741408429758
130.202668	10284.611732014368	90.66915170519759
130.302668	10293.642476044897	89.94669218275527
130.402668	10302.601262337907	89.22998927931457
130.502668	10311.488664258775	88.51899712564504
130.602668	10320.30525060426	87.81367021800617
130.702668	10329.0515856389	87.1139634152351
130.802668	10337.728229131118	86.41983193585763
130.902668	10346.335736389063	85.73123135522215
131.002668	10354.874658296134	85.04811760265645
131.102668	10363.345541346249	84.3704469586472
131.202668	10371.748927678815	83.69817605204186
131.302668	10380.085355113426	83.03126185727295
131.402668	10388.355357184284	82.36966169160436
131.502668	10396.559463174342	81.71333321239966
131.602668	10404.698198149186	81.06223441441216
131.702668	10412.772082990632	80.41632362709653
131.802668	10420.781634430065	79.77555951194192
131.902668	10428.72736508151	79.13990105982624
132.002668	10436.609783474443	78.5093075883916
132.102668	10444.429394086332	77.88373873944056
132.202668	10452.186697374922	77.26315447635328
132.302668	10459.882189810274	76.64751508152509
132.402668	10467.51636390653	76.03678115382456
132.502668	10475.08970825344	75.43091360607188
132.602668	10482.602707547623	74.82987366253718
132.702668	10490.055842623602	74.23362285645892
132.802668	10497.449590484564	73.64212302758199
132.902668	10504.784424332896	73.05533631971544
133.002668	10512.060813600468	72.47322517830968
133.102668	10519.279223978678	71.89575234805295
